"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"189",12,"Andrei Iosivas",CIN,"WR73","194","235","203.4","12.5","-"
"190",12,"Isaiah Bond",FA,"WR74","167","257","194.1","27.2","-"
"191",12,"Los Angeles Chargers",LAC,"DST6","170","345","195.8","43.3","-"
"192",12,"Jalen Coker",CAR,"WR75","169","219","196.5","12.9","-"
"193",12,"New York Jets",NYJ,"DST7","171","344","196.6","43.3","-"
"194",12,"Antonio Gibson",NE,"RB58","188","232","210.4","17.6","-"
"195",12,"Detroit Lions",DET,"DST8","177","331","198.8","38.7","-"
"196",12,"Buffalo Bills",BUF,"DST9","182","329","201.9","38.0","-"
"197",12,"Russell Wilson",PIT,"QB29","178","215","202.2","15.3","-"
"198",12,"Ja'Tavion Sanders",CAR,"TE27","172","255","224.5","20.5","-"
"199",12,"Gus Edwards",LAC,"RB59","176","269","219.6","21.8","-"
"200",12,"Tre Harris",FA,"WR76","177","264","208.5","25.8","-"
"201",12,"Minnesota Vikings",MIN,"DST10","171","332","197.3","40.9","-"
"202",12,"Seattle Seahawks",SEA,"DST11","184","336","211.9","44.4","-"
"203",12,"Noah Fant",SEA,"TE28","204","253","232.4","13.3","-"
"204",12,"Wan'Dale Robinson",NYG,"WR77","187","236","213.3","13.5","-"
"205",12,"Kenneth Gainwell",PHI,"RB60","184","246","224.4","17.4","-"
"206",12,"J.J. McCarthy",MIN,"QB30","137","254","225.1","39.2","-"
"207",12,"Brandon Aubrey",DAL,"K1","184","347","202.1","44.0","-"
"208",12,"Travis Hunter",FA,"WR78","175","262","215.8","20.2","-"
"209",12,"Jake Bates",DET,"K2","186","361","206.3","46.7","-"
"210",12,"Noah Gray",KC,"TE29","205","258","238.9","13.8","-"
"211",12,"Brandin Cooks",DAL,"WR79","207","238","220.1","10.4","-"
"212",12,"Mike Gesicki",CIN,"TE30","190","255","240.0","18.4","-"
"213",12,"Justin Tucker",BAL,"K3","186","348","208.9","42.7","-"
"214",12,"Aaron Rodgers",NYJ,"QB31","178","275","231.4","25.4","-"
"215",12,"Cameron Dicker",LAC,"K4","190","351","211.1","42.5","-"
"216",12,"Kendre Miller",NO,"RB61","207","242","223.5","10.8","-"
"217",12,"Cam Skattebo",FA,"RB62","174","241","212.2","23.6","-"
"218",12,"Chris Boswell",PIT,"K5","191","355","212.7","43.5","-"
"219",12,"Wil Lutz",DEN,"K6","192","359","214.8","43.8","-"
"220",13,"Houston Texans",HOU,"DST12","185","339","216.0","38.9","-"
"221",13,"Elijah Moore",CLE,"WR80","202","247","227.6","13.8","-"
"222",13,"Devaughn Vele",DEN,"WR81","215","243","227.9","8.5","-"
"223",13,"Nicholas Singleton",FA,"RB63","121","227","187.1","32.9","-"
"224",13,"Ka'imi Fairbairn",HOU,"K7","189","350","217.1","40.9","-"
"225",13,"Tim Patrick",DET,"WR82","211","260","229.5","14.1","-"
"226",13,"Evan Stewart",FA,"WR83","176","297","218.4","33.2","-"
"227",13,"Trevor Etienne",FA,"RB64","217","284","231.0","18.9","-"
"228",13,"Joshua Palmer",LAC,"WR84","219","268","241.2","11.4","-"
"229",13,"Jason Sanders",MIA,"K8","203","356","222.8","40.4","-"
"230",13,"Cleveland Browns",CLE,"DST13","189","341","223.7","48.1","-"
"231",13,"Kyle Monangai",FA,"RB65","180","254","224.5","18.6","-"
"232",13,"Green Bay Packers",GB,"DST14","190","334","225.3","36.2","-"
"233",13,"Malik Washington",MIA,"WR85","217","262","236.3","12.3","-"
"234",13,"Tyler Bass",BUF,"K9","204","352","225.7","38.2","-"
"235",13,"Chase McLaughlin",TB,"K10","200","357","226.9","40.6","-"
"236",13,"Devin Singletary",NYG,"RB66","209","257","239.5","13.0","-"
"237",13,"Cam Akers",MIN,"RB67","157","271","239.9","26.9","-"
"238",13,"Justice Hill",BAL,"RB68","159","288","250.2","37.3","-"
"239",13,"Tampa Bay Buccaneers",TB,"DST15","200","245","221.6","14.8","-"
"240",13,"Nick Westbrook-Ikhine",TEN,"WR86","222","291","244.5","16.7","-"
"241",13,"Harold Fannin Jr.",FA,"TE31","179","255","234.7","31.7","-"
"242",13,"Los Angeles Rams",LAR,"DST16","204","340","235.2","37.0","-"
"243",13,"Alexander Mattison",LV,"RB69","233","261","246.3","6.5","-"
"244",13,"Harrison Butker",KC,"K11","222","349","238.0","33.8","-"
"245",13,"Christian Watson",GB,"WR87","222","293","248.1","25.8","-"
"246",13,"Xavier Restrepo",FA,"WR88","204","266","238.6","27.4","-"
"247",13,"Ollie Gordon II",FA,"RB70","227","288","248.3","18.6","-"
"248",13,"Will Dissly",LAC,"TE32","210","264","252.5","15.4","-"
"249",13,"Roman Wilson",PIT,"WR89","234","267","253.2","11.2","-"
"250",13,"Miles Sanders",CAR,"RB71","234","283","245.1","13.3","-"
"251",13,"Devin Neal",FA,"RB72","215","297","245.2","22.9","-"
"252",13,"Kareem Hunt",KC,"RB73","177","274","255.0","23.9","-"
"253",13,"Elic Ayomanor",FA,"WR90","198","270","246.6","24.7","-"
"254",13,"Evan McPherson",CIN,"K12","216","353","236.7","37.2","-"
"255",13,"Zack Moss",CIN,"RB74","175","277","257.7","29.4","-"
"256",13,"Kyren Lacy",FA,"WR91","223","267","249.3","17.3","-"
"257",13,"Gabe Davis",JAC,"WR92","227","265","250.2","12.8","-"
"258",13,"Oronde Gadsden II",FA,"TE33","236","260","251.6","9.2","-"
"259",13,"Tank Dell",HOU,"WR93","125","342","251.8","60.0","-"
"260",13,"San Francisco 49ers",SF,"DST17","209","337","252.8","32.1","-"
"261",13,"Calvin Austin III",PIT,"WR94","246","296","261.7","11.3","-"
"262",13,"Tyler Lockett",SEA,"WR95","233","294","269.1","14.9","-"
"263",13,"Jalen Tolbert",DAL,"WR96","231","268","253.3","12.0","-"
"264",13,"Darius Slayton",NYG,"WR97","252","273","265.6","4.8","-"
"265",13,"Khalil Herbert",CIN,"RB75","193","301","273.0","31.0","-"
"266",13,"Juwan Johnson",NO,"TE34","173","287","248.6","33.2","-"
"267",13,"Donovan Edwards",FA,"RB76","243","381","268.7","33.0","-"
"268",13,"Mike Williams",PIT,"WR98","261","289","269.8","6.0","-"
"269",13,"Tez Johnson",FA,"WR99","229","288","262.2","20.1","-"
"270",13,"Elijah Mitchell",SF,"RB77","203","305","277.1","23.1","-"
"271",14,"Jake Elliott",PHI,"K13","239","360","254.0","33.9","-"
"272",14,"Dallas Cowboys",DAL,"DST18","205","342","264.8","34.3","-"
"273",14,"Raheem Mostert",MIA,"RB78","165","308","279.4","34.5","-"
"274",14,"Dameon Pierce",HOU,"RB79","201","311","280.1","30.1","-"
"275",14,"Jermaine Burton",CIN,"WR100","229","297","274.7","15.8","-"
"276",14,"Will Levis",TEN,"QB32","262","303","281.2","9.9","-"
"277",14,"Theo Johnson",NYG,"TE35","207","273","264.4","18.6","-"
"278",14,"Ty Chandler",MIN,"RB80","259","292","280.7","8.4","-"
"279",14,"Parker Washington",JAC,"WR101","197","300","280.9","24.6","-"
"280",14,"Younghoe Koo",ATL,"K14","249","358","266.1","31.0","-"
"281",14,"Jalen Nailor",MIN,"WR102","198","302","282.0","24.6","-"
"282",14,"John Metchie III",HOU,"WR103","246","309","282.1","13.4","-"
